id,name,surname,city,street,street_number,postal_code
357040148,Grażyna,Turczyńska,Żabno,Prosta,297,67-770
116300882,Flawia,Pietrzykowska,Zator,Jakubowskiego Macieja,1205,26-086
52282538,Wiesław,Bakuła,Siedlce,Tucholska,1039,99-112
150840236,Wiola,Ostrowska,Inowrocław,Leśnowolska,177,11-005
4815785,Różanna,Raczyńska,Łowicz,Chwistka Leona,374,09-932
598212685,Olimpia,Walczak,Łosice,Kołodziejska,973,09-423
8606731,Stefania,Pakosz,Opalenica,Burszty Józefa,1347,54-607
233773567,Natan,Woźniak,Lewin Brzeski,Zagrody,1060,50-673
368217203,Sylwia,Błach,Skała,Osterwy Juliusza,1141,66-404
9395073,Bogumił,Sopoćko,Orneta,Mały Płaszów,866,81-773
153717861,Klaudiusz,Gogolewski,Mieroszów,Na Szaniec,1059,17-839
467429360,Agata,Wisowaty,Kołobrzeg,Mokra,306,87-708
2848055,Edmund,Gucwa,Knyszyn,Święciańska,1072,66-673
67738729,Zbyszek,Paprocki,Babimost,Drużbackiej Elżbiety,168,15-303
75545756,Konrad,Horodecki,Murowana Goślina,Starego Mieszka,430,75-266
3916884,Maryla,Ignatowicz,Złoczew,Przeskok,1018,34-347
72833288,Dagmara,Stępkowska,Cybinka,Ku Dębinie,1354,14-019
42913641,Lena,Opasińska,Żerków,Skarbowa,1220,24-911
485644480,Teodora,Kołodziej,Węgorzyno,Sosnowa,650,27-534
227658269,Konstanty,Królicki,Wojcieszów,Darwina Karola,416,29-187
140533713,Lena,Biernacka,Krzanowice,Gorczyczewskiego Jana,740,11-675
4041337,Fryderyka,Wojnar,Opole,Pocieszka,1160,72-798
19033889,Katarzyna,Raszewska,Aleksandrów Łódzki,Okrężna,970,39-879
19834724,Abel,Polański,Piechowice,Zagonów,1039,90-832
193699786,Aurelia,Grochowiak,Nakło nad Notecią,Leska,378,98-676
117719437,Jurek,Bielecki,Kalety,Świętego Rocha,1321,57-196
162367007,Jaromił,Drobczyński,Szydłowiec,Rudzicka,158,02-024
104086925,Henryka,Brodowicz,Zawichost,Jezierskiego Wincentego,113,11-439
83302541,Leopolda,Tarkowska,Pyskowice,Kotarbińskiego Tadeusza,1254,90-734
426092886,Ludwik,Mazurek,Zaklików,Luba,393,61-423
140574612,Hanna,Czech,Jedlicze,Pod Gajem,221,08-198
301821365,Hortensja,Kossowska,Piekary Śląskie,Zaruskiego Mariusza,131,90-589
2322494,Cezary,Onufrowicz,Górzno,Joselewicza Berka,1227,21-319
396990227,Wojciech,Szwedowski,Szprotawa,Nowosolska,751,19-568
441798382,Benedykt,Breza,Ciężkowice,Komandoria,603,26-512
321358496,Juliusz,Arciszewski,Zaklików,Lotnicza,503,66-894
470777434,Elżbieta,Dobrzańska,Pasłęk,Kotlińska,723,44-340
25200142,Igor,Gawlik,Puszczykowo,Morelowa,182,35-177
241483487,Matylda,Dębińska,Włoszczowa,Turonia,1096,58-095
102781106,Longin,Krupiński,Stawiszyn,Stępnia Józefa,849,20-843
1379618,Romuald,Gawkowski,Bardo,Sztormowa,484,11-421
225972271,Patryk,Sojka,Inowrocław,Becka Józefa,1283,59-700
5333593,Aleksy,Skibiński,Skoczów,Młodej Polski,1281,60-757
403410521,Marek,Galewicz,Świdnik,Stefczyka Franciszka,34,20-019
280314967,Norberta,Czachor,Krosno Odrzańskie,Zabrzańska,1180,59-078
455049438,Władysława,Olekszyk,Konin,Fabijańskich Erazma I Stanisława,714,50-800
19234498,Dawid,Olszowski,Czeladź,Lecha,592,84-494
241069413,Fryderyk,Drobczyński,Nowy Tomyśl,Hektary,463,91-616
94050313,Łukasz,Żukowski,Gniew,Osada,864,48-121
298507809,Bernadetta,Gogolewska,Olsztynek,Kowalska,25,26-312
259944587,Matylda,Cichy,Parczew,700-Lecia,994,19-249
27404932,Gabriel,Kozubowski,Lipsko,Vrtela-Wierczyńskiego Stefana,359,43-803
105399242,Bolesław,Pięta,Chełmża,Buczka Karola,813,53-610
368960545,Maurycja,Olekszyk,Oborniki,Borsucza,837,43-363
394054252,Zdzisław,Pospieszalski,Zielona Góra,Barbary,44,90-646
3184887,Eleonora,Słabowska,Działdowo,Sieradzka,541,30-923
21167694,Bonifacy,Weryszko,Szczytna,Bystronia Jana Stanisława,1124,40-872
56016986,Gwidon,Galiński,Siedliszcze,Przydziałki,502,98-738
557686558,Weronika,Stróżek,Choroszcz,Nefrytowa,1014,77-142
251171288,Artem,Gołębiewski,Lidzbark Warmiński,Głazowa,892,59-284
81568665,Maria,Smolińska,Białogard,Barbary,1241,10-442
68589651,Albert,Szlawski,Bogatynia,Koprzywnicka,951,58-696
344662028,Cyprian,Jabłkowski,Skalbmierz,Straszewskiego Floriana,152,74-316
59015860,Rudolf,Imieliński,Strzyżów,Danka Wincentego,356,24-790
564997728,Milena,Świetlicka,Proszowice,Szujskiego Józefa,140,02-955
7954902,Mariusz,Zawadzki,Kraśnik,Przydziałki,1215,51-770
110135264,Maksymilian,Dunajewski,Gdynia,Towarowa,111,60-428
17111772,Emilian,Piechota,Pogorzela,Promienistych,388,75-275
104670408,Mariola,Kaznowska,Biała,Meliorantów,844,04-410
152972574,Polina,Klimaszewska,Poniatowa,Płowiecka,179,04-057
113769753,Nikola,Kuźniar,Szubin,Wagrowska,460,62-066
105243473,Igor,Zielonko,Nowy Targ,Pgr Wielkie,1393,98-812
374513073,Gracja,Sicińska,Świerzawa,Małachowskiego Stanisława,1316,74-211
327745952,Mieczysław,Gadowski,Zbąszynek,Pionierska,1063,63-959
516282482,Marta,Szymańska,Częstochowa,Kluzeka Piotra,979,26-199
347621251,Hieronim,Górski,Jelenia Góra,Wspólna,714,60-533
34186811,Jadwiga,Bielicka,Ostrołęka,Pileckiego Witolda,370,80-232
177502187,Jarek,Wojnowski,Dobra,Starowiejska,1272,85-182
14581289,Bruno,Romanowicz,Zagórów,Miodońskiego Jana,484,01-020
177989377,Wojtek,Szabelski,Górowo Iławeckie,Architektów,1226,93-600
163229610,Józefina,Jałoszyńska,Golina,Świętej Anny,683,23-985
66705225,Aleksander,Pardecki,Małomice,Łosiowa,736,08-227
32592706,Bożydar,Wawrzyniak,Ulanów,Piątkowska,758,63-240
468304747,Sabina,Szablewska,Jaworzno,Opalińskiego Łukasza,1281,89-570
15064856,Tamara,Kaczmarska,Gliwice,Spółdzielców,432,04-950
23064652,Roksana,Dobrzyńska,Zgorzelec,Rawicz-Mysłowskiego Mieczysława,861,02-096
63144696,Klaudia,Imielińska,Buk,Ripperów Wilhelma I Jana,1292,37-196
545525402,Karola,Strużyna,Maków Mazowiecki,Bnińska,457,60-958
13024835,Bartłomiej,Glinka,Kożuchów,Dembowskiego Edwarda,895,27-819
219052670,Mela,Boguszewska,Bytów,Hubalczyków,306,04-752
65685018,Przybysława,Milewska,Serock,Podolska,448,74-450
397747829,Ryszard,Kotkowski,Jelenia Góra,Mirosławiecka,1364,47-653
7791974,Szymon,Kucharski,Pasłęk,Tyska,723,39-225
509628933,Agata,Urbaniak,Lądek-Zdrój,Handlowa,107,95-505
21929967,Jurek,Szklarski,Kłodzko,Działkowa,795,49-532
246635905,Daniela,Odrzywolska,Choszczno,Na Zielonki,1006,96-932
82837758,Henryka,Piątek,Susz,29 Listopada,606,68-841
333770633,Jola,Rymkiewicz,Częstochowa,Strzałowa,173,32-234
47044054,Eryk,Redyk,Zawiercie,Jastarnicka,1367,22-530
573927684,Elena,Lemańska,Zawichost,Pelargoniowa,1274,08-516
81070955,Gniewko,Żurawicki,Krynki,Sowice,95,73-827
152982742,Ludmiła,Zarzecka,Gostynin,Nowaka-Jeziorańskiego Jana,1042,83-250
123174426,Radomiła,Pośpiech,Pleszew,Arciszewskiego Tomasza,1200,49-805
206716427,Brunon,Andrzejewski,Lidzbark,Chomęcicka,1293,11-110
68271717,Paulina,Kruszewska,Skórcz,Pod Sikornikiem,327,29-595
4963710,Olaf,Górka,Zbąszynek,Pokrzywki Gustawa,1188,72-618
228141782,Natalia,Romanowicz,Sulechów,Śnieżna,686,79-117
374965608,Władysława,Mazurek,Brusy,Literacka,1216,99-068
9442068,Sylwester,Matlak,Sejny,Korbielowska,1366,55-404
136331874,Danka,Tarkowska,Międzybórz,Lindego Samuela Bogumiła,370,37-906
234564682,Laura,Kijowska,Strzelce Krajeńskie,Światopełka,1098,23-808
90452094,Krzysztof,Raniszewski,Konstancin-Jeziorna,Okulickiego Leopolda,829,85-890
544106826,Urszula,Pawlicka,Sędziszów,Zwierzyniecka,1329,52-901
13526903,Olimpia,Górka,Goleniów,Jaglarzów Michała I Stanisława,336,75-248
59178088,Marek,Hejmo,Pszczyna,Florkowskiego Walentego,741,35-442
2367456,Dawid,Pląskowscy,Lędziny,Opalińskiego Łukasza,1220,70-368
53145398,Bożysław,Pospieszalski,Mysłowice,Smolki Stanisława,271,16-717
1995530,Albert,Palowicz,Mrocza,Wolności,184,26-075
23388226,Patryk,Gałczyński,Czempiń,Ludwinowska,465,46-043
181446353,Benedykt,Dziubdziela,Biała,Sieradzka,577,06-048
427858047,Jolanta,Konieczko,Świebodzin,Rakuś,191,37-240
127242224,Aleksy,Godlewski,Sompolno,Budryka Witolda,112,54-572
28749219,Marta,Trzebiatowska,Orzysz,Orła Białego,574,07-010
352366924,Antonia,Jagiełło,Polanów,Pasłęcka,1387,62-718
17154680,Przemysław,Kwietniewski,Mirsk,Gubińska,1187,63-398
19933815,Lesław,Kwiatkowski,Koziegłowy,Listopadowa,379,25-638
40165594,Ksawery,Małachowski,Stronie Śląskie,Żemaitisa Kiejstuta,834,17-415
235535475,Gromosław,Muszyński,Warszawa,Grabczaka Ignacego,827,68-964
216920901,Iwa,Matuszewska,Kuźnia Raciborska,Kurlandzka,1034,20-346
237013379,Gaweł,Kurowski,Krapkowice,Dolna Wilda,992,73-350
184568215,Nikita,Grabarz,Zaklików,Kossaka Juliusza,1101,23-422
190428980,Karol,Kijowski,Witkowo,Krapkowicka,1163,99-218
190635127,Augustyna,Tatarkiewicz,Krzanowice,Korony Polskiej,1148,97-642
258508961,Alfred,Zielonko,Opole Lubelskie,Podolska,481,63-959
8916884,Zdzisław,Pilarz,Mordy,Kramowa,1309,84-639
86877784,Jakub,Czekalski,Węgorzewo,Tarczowa,780,77-768
11281570,Celestyna,Rybicka,Bystrzyca Kłodzka,Prowansalska,612,58-727
105850019,Małgorzata,Waszkiewicz,Wielichowo,Tuwima Juliana,1142,89-204
178891558,Jolanta,Kot,Chorzów,Tucholska,343,48-535
4247177,Mieczysław,Jurczyk,Kleszczele,Żbikowa,854,59-034
474638161,Wiktoria,Gogolewska,Koziegłowy,Bieżanowska,774,88-911
251567439,Cecylia,Sztwiertnia,Radków,Janosika,33,69-624
121115076,Adolf,Szajda,Zduny,Kałuży Józefa,520,38-390
178043690,Maurycja,Różańska,Kcynia,Mariampolska,1069,04-361
170168743,Bożenka,Iwańska,Choszczno,Flisacka,570,57-122
12709392,Celestyn,Wiszowaty,Jaworzno,Wiatraczna,1382,08-573
76764518,Ferdynand,Szołtysek,Jedlina-Zdrój,Duża Góra,869,89-762
559099750,Hektor,Roszkowski,Pełczyce,Żonkilowa,252,37-003
489216586,Celestyn,Krajewski,Wysokie Mazowieckie,Szwai Jana,1071,86-966
393035207,Napoleon,Baran,Malbork,Bociania,301,60-933
4030061,Olek,Pakosz,Rumia,Browarna,870,42-210
134182084,Izolda,Szołtysek,Janikowo,Przybyszewskiego Stanisława,604,36-864
210613928,Czesław,Roszkowski,Kock,Garbarska,1065,03-974
202454793,Żaneta,Sopoćko,Tuliszków,Pysocice,1377,28-873
283375850,Paweł,Jankowski,Ziębice,Daszyńskiego Ignacego,5,37-851
69855798,Hipolita,Sarnowska,Rypin,Próchnika Adama,204,33-197
232896,Wojtek,Umiński,Nowe Miasto Lubawskie,Północna,93,91-495
175174693,Wincenty,Borys,Rzeszów,Frycza Modrzewskiego Andrzeja,720,00-035
96332102,Marylka,Pląskowscy,Orneta,Przybrodzka,768,12-719
18271842,Ilza,Makowiecka,Gliwice,Praska,1350,38-096
30877881,Bernarda,Smulikowska,Rumia,Koszutki,1192,74-767
510378233,Jadwiga,Wilk,Drobin,Gwoździarska,909,42-213
152337903,Krzesimir,Hernik,Lędziny,Lotosowa,136,19-600
84299811,Danuta,Gościniak,Kamienna Góra,Wolnica,395,11-137
394862067,Natasza,Niewiadomska,Barcin,Podgajska,181,44-824
5701354,Józef,Kowal,Andrychów,Płaska,260,59-379
153175996,Romuald,Wolny,Międzylesie,Czernichowska,683,41-104
37808934,Adam,Kaczorowska,Oleśnica,Chałubińskiego Tytusa,953,81-638
69648512,Arnold,Strzemecki,Dobrzyń nad Wisłą,Jaworowa,196,14-979
99024218,Dobiesław,Ciechanowski,Rymanów,Lubostroń,1107,37-012
51304801,Napoleon,Borys,Orzesze,Żwirki Franciszka,528,80-091
147276476,Dariusz,Kaczmarek,Sieradz,Leszczyńska,533,29-615
194650717,Jagoda,Gutowska,Gniew,Barczewska,47,73-432
67785522,Różanna,Świerczewska,Józefów,Sucharskiego Henryka,1382,84-222
75790073,Waldek,Pospieszalski,Kępice,Młynówka Królewska,894,29-699
147369718,Leszek,Dobrzyński,Radzyń Chełmiński,Melisowa,700,13-688
165646206,Renarda,Wiesiołowska,Zambrów,Obrońców Modlina,485,48-069
17919586,Mariusz,Majdecki,Skępe,Szopkarzy,771,61-543
397391352,Mirka,Wojciechowska,Brok,Wodzickich,698,81-566
21643669,Samuela,Żukowska,Szczucin,Leszka Czarnego,450,01-668
479396706,Honorata,Gościniak,Władysławowo,Owocowa,185,05-079
435953661,Emila,Krasińska,Korsze,Strzeleckiego Pawła Edmunda,1256,56-905
53626251,Jakub,Smolarek,Koszalin,Rawicka,598,40-799
461780475,Justyna,Pilarska,Buk,Grabowska,1169,81-326
380079892,Stefania,Kaczorowska,Lubaczów,Zakręt,710,10-985
463100087,Nika,Golka,Nekla,Do Wilgi,1107,96-952
183582074,Henryka,Betlińska,Lesko,Fikusowa,235,88-244
175875465,Eustachy,Dutkiewicz,Siedlce,Legendy,221,05-275
94473285,Bona,Frydrychowicz,Ogrodzieniec,Szymonowica Szymona,1329,80-768
23998421,Dalia,Szajda,Krasnystaw,Czysta,364,70-219
70017423,Adrian,Słowakiewicz,Nowe Miasto Lubawskie,Gęsia,416,36-043
958146,Balbina,Syrewicz,Chorzów,Obrony Tyńca,865,81-782
154309420,Rózia,Szołtysek,Łomianki,Strzelnica,689,11-592
126927114,Jola,Bielicka,Sucha Beskidzka,Skoczylasa Władysława,982,61-395
253606602,Stanisław,Netkowski,Łobez,Na Dołach,1215,98-951
363112110,Tamara,Olekszyk,Tomaszów Mazowiecki,Błońska,112,89-173
3696491,Zosia,Odrzywolska,Chrzanów,Tymienieckiego Kazimierza,738,99-346
423643412,Lech,Pietrzak,Stopnica,Styczna,950,21-287
223124175,Kazimierz,Olekszyk,Sokołów Podlaski,Kantaka Kazimierza,176,98-308
56169931,Kunegunda,Olszowska,Ujazd,Bruśnicka,731,32-896
24087957,Karola,Kijowska,Milanówek,Nad Potokiem,741,58-076
91290122,Zbyszek,Zarzecki,Rzepin,Kryniczna,686,52-714
94952262,Faustyna,Michalak,Łaszczów,Jaromira,849,37-845
2598691,Gabryjel,Stróżek,Boguchwała,Jasia I Małgosi,1274,93-474
104261652,Jonasz,Wróblewski,Sulechów,Wróblowicka,882,39-210
80474989,Eustachy,Janowski,Łobżenica,Chanieckiej Heleny,615,84-958
77616376,Daniel,Drobczyński,Rudnik nad Sanem,Sawy-Calińskiego Józefa,216,05-345
100824087,Inga,Jankowska,Trzciel,Gombrowicza Witolda,1034,91-823
4114776,Tola,Samek,Ośno Lubuskie,Urocza,538,41-961
212139532,Rajmund,Raczyński,Szepietowo,Promyk,306,59-051
8881688,Marysia,Mackaewicz,Rudnik nad Sanem,Badurskiego Andrzeja,242,78-102
87167399,Monika,Janiszewska,Tomaszów Lubelski,Starowolska,79,00-794
16994040,Marian,Golka,Ulanów,Ripperów Wilhelma I Jana,799,93-126
244050368,Radomiła,Firląg,Chodzież,Łokietkówny Elżbiety,37,65-817
130680997,Jadwiga,Lutosławska,Jaworzno,Baczyńskiego Krzysztofa,117,11-508
159399533,Berta,Dąbrowska,Wleń,Łąkowa,391,86-760
187312772,Ilza,Lutostańska,Łańcut,Staszica Stanisława,702,39-660
316144460,Michał,Olechowski,Świętochłowice,Chociszewskiego Józefa,727,20-847
261933087,Romuald,Uryga,Tarnów,Lotaryńska,899,83-406
492516298,Maryna,Bończak,Biała Podlaska,Tuwima Juliana,822,97-483
494625267,Marzenna,Witczyk,Nowe Miasto Lubawskie,Okolewo,1220,47-311
4162418,Kasia,Żyborska,Cybinka,Żbikowa,60,93-919
113814852,Leoncjusz,Narkiewicz,Warszawa,Kowalewicka,198,55-119
1433140,Apolonia,Warzager,Kórnik,Solvaya Ernesta,669,87-146
41050576,Kinga,Pospieszalska,Przeworsk,Nowaczyńskiego Adolfa,1355,21-516
433609568,Alfreda,Hernik,Nałęczów,Hurtowa,922,17-118
57959905,Żaneta,Krzyżanowska,Brzozów,Karmelowa,279,46-187
97864744,Romuald,Sienicki,Milanówek,Żubrowa,1106,55-204
143542151,Beniamin,Puchała,Dobczyce,Kotlarska,1139,62-773
196611373,Marcin,Wnorowski,Grodzisk Wielkopolski,Komandorska,1108,30-058
3501094,Brygida,Otyś,Kalisz,Tuwima Juliana,1174,26-758
45138339,Gwidon,Wojnowski,Olecko,Łopianowa,968,86-210
374396894,Zdzisław,Malczewski,Poznań,Czarnego Leszka,1119,75-182
126305984,Ilza,Olszewska,Zaklików,Mistrzejowicka,588,52-448
401816752,Sara,Buczyńska,Chociwel,Gościnna,1079,55-352
40525726,Oliwia,Markiewicz,Żarki,Bliźniąt,1219,79-682
84565462,Marzanna,Malinowska,Poręba,Osada,1383,60-880
306650584,Amelia,Maćkowiak,Bełchatów,Działowskiego Stanisława,109,56-214
39874611,Kajetan,Malinowski,Piechowice,Maciejkowa,1287,99-190
523994472,Halka,Sieradzan,Odolanów,Dzierżonia Jana,754,07-738
82498908,Maksyma,Mejsztowicz,Augustów,Świętego Stanisława,1159,55-307
1361009,Bogusław,Grabarz,Działoszyn,Angielska,145,52-313
83340149,Iwonka,Kot,Kętrzyn,Ossowskiego Michała,647,63-125
187811155,Mirka,Skubiszyńska,Kalety,Tymotkowa,430,96-360
181677066,Wojtek,Mączyński,Bierutów,Nieznana,773,49-647
51181208,Miron,Stajer,Łomianki,Harcerzy Krakowskich,205,53-458
46089712,Napoleon,Chełmicki,Nakło nad Notecią,Macedońska,922,62-689
140058380,Marian,Tatarkiewicz,Pasym,Nabielaka Ludwika,597,06-864
248529511,Justyna,Ryndak,Wiązów,Sanocka,866,21-079
57742176,Żaneta,Walewska,Cedynia,Rolna,184,96-890
127435573,Wacław,Horodecki,Kisielice,Błękitna,626,80-408
468419677,Sława,Śmiarowska,Przeworsk,Różyczkowa,48,37-558
76853488,Malina,Szojda,Błonie,Figowa,820,13-743
56905329,Pamela,Ambroziak,Sianów,Na Polankach,338,05-080
12849460,Rudolf,Rychlewski,Lubliniec,Niebieska,684,27-140
22213003,Manuela,Fornalska,Konstancin-Jeziorna,Wałbrzyska,84,25-336
430307984,Adela,Kurska,Bogatynia,Geologów,1019,93-550
61392712,Wanda,Górka,Prószków,Lipowskiego Wojciecha,994,78-751
136073266,Alfreda,Waliszewska,Kamień Pomorski,Halczyna Wojciecha,1077,14-445
54883769,Bartek,Dobrucki,Kamieńsk,Irzykowskiego Karola,210,35-441
468452895,Iga,Trzcińska,Radłów,Batorego Stefana,1387,99-074
237827877,Bogna,Siudek,Szubin,Szybowników,1131,84-182
